Time Agent Velocity distanceToNearestPerson distanceToNearestObstacle
1.02642 0 0.4 1.18443 2.65189
1.02642 1 0.249802 3.0268 2.80045
1.02642 2 0.249784 2.80557 2.55441
1.02642 3 0.245422 2.80557 3
1.02642 4 0.247164 2.79062 2.5894
1.02642 5 0.24626 2.79062 2.4
1.02642 6 0.249632 3.00998 2.35
1.02642 7 0.220738 2.1571 1.8
1.02642 8 0.248184 2.83854 2.2
1.02642 9 0.249711 3.00998 2.8
1.02642 10 0.250021 2.36416 2.2
1.02642 11 0.259558 1.18443 2.9
1.02642 12 0.253851 2.92216 2.19659
1.02642 13 0.249532 2.92216 2.35
1.02642 14 0.239964 2.77736 2.33452
1.02642 15 0.254943 2.99265 1.98116
1.02642 16 0.241103 2.98187 2.25
1.02642 17 0.247152 2.77736 2.3
1.02642 18 0.245864 2.79337 2.1
1.02642 19 0.242822 2.776 2.15
1.02642 20 0.24841 2.776 2.3
2.02945 0 0.4 1.06392 3.07612
2.02945 1 0.448712 3.10004 2.45
2.02945 2 0.45483 2.39467 2.55
2.02945 3 0.435103 2.39467 3.20039
2.02945 4 0.444117 2.33583 2.6
2.02945 5 0.442351 2.33583 2.7
2.02945 6 0.448445 3.03611 2.55783
2.02945 7 0.384646 2.15347 1.76139
2.02945 8 0.447649 2.51374 1.9
2.02945 9 0.448666 3.03611 2.55
2.02945 10 0.406266 2.44832 1.9105
2.02945 11 0.54765 1.06392 2.72029
2.02945 12 0.465865 2.70267 2.07425
2.02945 13 0.449724 2.83745 2.4
2.02945 14 0.380594 2.25347 2.35637
2.02945 15 0.455615 3.08994 2.19659
2.02945 16 0.442279 2.9628 2.1
2.02945 17 0.442924 2.25347 2.5
2.02945 18 0.440574 2.33151 1.9
2.02945 19 0.416274 2.27679 2.05
2.02945 20 0.44824 2.27679 2.45459
3.03787 0 0.6 1.04025 3.0104
3.03787 1 0.611276 3.21993 1.95064
3.03787 2 0.623171 2.07792 2.05
3.03787 3 0.598534 2.07792 2.79509
3.03787 4 0.610918 1.95601 2.25056
3.03787 5 0.603505 1.95601 3.01538
3.03787 6 0.611526 3.07604 2.25
3.03787 7 0.424257 1.88263 1.89737
3.03787 8 0.529662 2.31511 1.55
3.03787 9 0.611885 3.07604 2.15
3.03787 10 0.441215 2.8099 1.614
3.03787 11 0.664666 1.04025 2.30705
3.03787 12 0.635659 2.43987 1.7
3.03787 13 0.581858 2.97889 2.55
3.03787 14 0.476162 1.7471 2.52686
3.03787 15 0.439775 3.5743 1.72409
3.03787 16 0.606866 2.97889 1.85
3.03787 17 0.296927 1.7471 2.7
3.03787 18 0.609945 1.88611 1.55
3.03787 19 0.472981 1.84863 1.85
3.03787 20 0.618314 1.84863 2.00062
4.06806 0 0.6 0.999559 2.51098
4.06806 1 0.565614 3.38699 1.3
4.06806 2 0.675376 2.33779 1.45
4.06806 3 0.725761 2.33779 2.18002
4.06806 4 0.745073 2.18225 1.8
4.06806 5 0.692853 2.18225 2.37118
4.06806 6 0.55838 3.11873 1.8
4.06806 7 0.519356 1.51686 2.32594
4.06806 8 0.573531 2.47567 1.35
4.06806 9 0.590868 3.11873 1.65
4.06806 10 0.436305 2.22047 1.47733
4.06806 11 0.601134 0.999559 1.65529
4.06806 12 0.68876 2.37029 1.3435
4.06806 13 0.548955 3.10185 2.5
4.06806 14 0.453732 1.51486 2.76134
4.06806 15 0.303338 3.54365 1.34629
4.06806 16 0.738181 3.10185 1.55
4.06806 17 0.263878 1.51486 2.6
4.06806 18 0.375787 1.67336 1.15
4.06806 19 0.407907 2.16639 1.5
4.06806 20 0.644613 2.16639 1.54029
5.08173 0 0 1.06817 2.12191
5.08173 1 0.151858 3.43934 1.05
5.08173 2 0.343446 2.9916 0.95
5.08173 3 0.725978 2.9916 1.65529
5.08173 4 0.842696 2.97378 1.3
5.08173 5 0.665003 2.88441 1.79025
5.08173 6 0.241069 3.13243 1.5
5.08173 7 0.580532 1.43639 2.52389
5.08173 8 0.644501 2.95232 1.4
5.08173 9 0.245535 3.13243 1.35
5.08173 10 0.350076 1.43639 1.54029
5.08173 11 0.382724 1.06817 1.09659
5.08173 12 0.420254 2.49191 1.43265
5.08173 13 0.527733 3.24431 2.2
5.08173 14 0.317377 1.66277 2.75
5.08173 15 0.338008 3.28315 1.25399
5.08173 16 0.501702 3.24431 1.25
5.08173 17 0.285633 1.50979 2.35
5.08173 18 0.0880372 1.50979 1
5.08173 19 0.267308 2.92992 1.15
5.08173 20 0.482048 2.92992 1.12361
6.08489 0 0.45 1.09245 2.08387
6.08489 1 0.453821 3.20679 1.3
6.08489 2 0.404707 3.00572 1.00125
6.08489 3 0.608334 3.00572 1.55724
6.08489 4 0.420636 2.83318 0.951315
6.08489 5 0.663885 3.20376 1.54353
6.08489 6 0.139091 3.13666 1.4
6.08489 7 0.617947 0.914417 2.58118
6.08489 8 0.676375 2.83318 1.7
6.08489 9 0.142526 3.13666 1.25
6.08489 10 0.264233 0.914417 1.69706
6.08489 11 0.22584 1.09245 1.02956
6.08489 12 0.281857 2.85473 1.67705
6.08489 13 0.504284 3.17528 1.75
6.08489 14 0.366156 1.95981 2.45
6.08489 15 0.513488 3.03674 1.5
6.08489 16 0.124848 3.17528 1.1
6.08489 17 0.450569 1.39215 2
6.08489 18 0.478474 1.39215 1.2
6.08489 19 0.225444 3.21478 1.2
6.08489 20 0.0909951 3.03674 0.874643
7.10679 0 0.6 1.24128 2.27706
7.10679 1 0.625186 2.86653 1.85
7.10679 2 0.515738 2.41044 1.40089
7.10679 3 0.437833 2.41044 1.80069
7.10679 4 0.317384 2.08829 1.10114
7.10679 5 0.671338 3.39372 1.75285
7.10679 6 0.37227 2.86653 1.45
7.10679 7 0.574417 0.833514 2.5807
7.10679 8 0.648233 2.08829 2.2
7.10679 9 0.403078 3.13267 1.4
7.10679 10 0.20185 0.833514 1.87417
7.10679 11 0.526976 1.24128 1.34629
7.10679 12 0.311895 3.39759 1.96787
7.10679 13 0.444853 3.07309 1.3
7.10679 14 0.490414 2.4404 2.05
7.10679 15 0.443075 2.68335 1.91638
7.10679 16 0.218042 3.07309 1.15
7.10679 17 0.607279 1.95266 1.6
7.10679 18 0.646757 1.95266 1.55
7.10679 19 0.450237 2.68471 1.55
7.10679 20 0.272283 2.68471 1.02956
8.14325 0 0.45 1.51831 1.76706
8.14325 1 0.724945 2.54026 2
8.14325 2 0.422986 1.82559 1.8
8.14325 3 0.271152 1.82559 2.11483
8.14325 4 0.354949 1.65209 1.45086
8.14325 5 0.649466 3.10875 2.3
8.14325 6 0.531279 2.54026 1.7
8.14325 7 0.44428 1.11104 2.45967
8.14325 8 0.624646 1.65209 2.85
8.14325 9 0.593479 3.13781 1.7
8.14325 10 0.17951 1.11104 2.01556
8.14325 11 0.551614 1.51831 1.93003
8.14325 12 0.431042 3.79269 2.15058
8.14325 13 0.339238 3.06582 1
8.14325 14 0.611823 3.10576 1.6
8.14325 15 0.401147 2.41791 2.11483
8.14325 16 0.416687 3.06582 1.35
8.14325 17 0.637162 3.10576 1.15
8.14325 18 0.647877 3.16612 1.8
8.14325 19 0.491682 1.97813 2.05
8.14325 20 0.331667 1.97813 1.253
9.17653 0 0.6 1.25937 1.78045
9.17653 1 0.783574 2.33066 2.05
9.17653 2 0.549717 1.51227 2.25056
9.17653 3 0.170592 1.51227 2.31948
9.17653 4 0.420394 1.65103 1.75
9.17653 5 0.563916 2.82737 2.45
9.17653 6 0.680193 2.33066 1.95
9.17653 7 0.318563 1.58815 2.27706
9.17653 8 0.509074 1.65103 3.0104
9.17653 9 0.593202 3.10924 2.05
9.17653 10 0.393243 1.58815 2.06155
9.17653 11 0.407052 1.25937 2.44131
9.17653 12 0.468896 3.76783 2.29837
9.17653 13 0.381482 2.8653 1.2
9.17653 14 0.680381 3.60673 1.2
9.17653 15 0.5043 2.06635 1.75
9.17653 16 0.543134 2.8653 1.55
9.17653 17 0.662105 3.60673 1.05
9.17653 18 0.423755 3.56291 2.1
9.17653 19 0.50695 1.54433 2.55
9.17653 20 0.507393 1.54433 1.21655
10.1821 0 0.6 0.870268 2.22767
10.1821 1 0.781941 2.25575 1.95
10.1821 2 0.685449 1.55425 2.7
10.1821 3 0.25352 1.55425 2.40468
10.1821 4 0.523811 1.68267 2.05
10.1821 5 0.446594 2.82725 2
10.1821 6 0.714861 2.25575 2.1
10.1821 7 0.353031 2.02671 1.978
10.1821 8 0.377792 1.68267 2.58312
10.1821 9 0.268543 2.764 2.3
10.1821 10 0.573607 2.02671 2.12426
10.1821 11 0.388855 0.870268 2.62393
10.1821 12 0.150332 3.34005 2.42074
10.1821 13 0.477325 2.31043 1.65
10.1821 14 0.679463 3.11422 1.05
10.1821 15 0.544404 2.40025 1.57877
10.1821 16 0.594751 2.31043 1.55
10.1821 17 0.812079 3.80807 1.4
10.1821 18 0.357856 3.67172 2.45
10.1821 19 0.492805 1.47088 2.19317
10.1821 20 0.655299 1.47088 1.30384
11.185 0 0.6 1.14772 2.82843
11.185 1 0.523418 2.25073 1.85
11.185 2 0.749089 1.7962 2.78792
11.185 3 0.410791 1.7962 2.45
11.185 4 0.599907 1.76374 2.2
11.185 5 0.344395 2.10111 1.7
11.185 6 0.601445 2.25073 2.35
11.185 7 0.461355 2.36804 1.61555
11.185 8 0.343581 1.76374 2.37539
11.185 9 0.0343174 2.29326 2.35
11.185 10 0.550233 2.36804 2.26771
11.185 11 0.547961 1.14772 2.19146
11.185 12 0.157931 3.07569 2.45204
11.185 13 0.542554 1.74049 2.15
11.185 14 0.707436 2.34886 1.25
11.185 15 0.380049 1.78368 1.73925
11.185 16 0.502898 1.74049 1.4
11.185 17 0.776349 3.89069 1
11.185 18 0.436416 3.26211 2.34201
11.185 19 0.337749 1.78368 1.76706
11.185 20 0.704623 1.88932 1.47648
12.201 0 0 1.89712 3.04056
12.201 1 0.354537 2.27825 2
12.201 2 0.504111 1.9602 2.89914
12.201 3 0.499963 1.9602 2.33452
12.201 4 0.638224 1.39689 2.4
12.201 5 0.261892 1.39689 1.6
12.201 6 0.599071 1.94393 2.5045
12.201 7 0.504768 2.25312 1.30384
12.201 8 0.376954 2.07298 2.4965
12.201 9 0.311248 1.77886 2.3
12.201 10 0.176578 2.25312 2.06519
12.201 11 0.665376 1.89712 1.64469
12.201 12 0.37092 3.18265 2.51048
12.201 13 0.555684 1.5926 2.6
12.201 14 0.675458 1.77886 1.7
12.201 15 0.101187 1.47951 1.85809
12.201 16 0.17025 1.5926 1.35
12.201 17 0.71875 3.82936 0.9
12.201 18 0.552576 3.22453 1.92354
12.201 19 0.239678 1.47951 1.52315
12.201 20 0.641408 2.58512 1.76777
13.2436 0 0 2.34347 3.04056
13.2436 1 0.369569 2.31652 2.3
13.2436 2 0.20789 1.80346 2.94491
13.2436 3 0.53234 1.80346 2.10297
13.2436 4 0.625899 0.917717 2.5
13.2436 5 0.244148 0.917717 1.6
